source,video_index,file_path,half,clock,time_seconds,label,team,confidence,details
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,00:28,28.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,00:32,32.0,Shot off target,away,0.9,Player in white jersey takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,00:34,34.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,00:36,36.0,Shot off target,home,0.8,Player 21 takes a shot
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,00:38,38.0,Shot off target,away,0.9,Player in white jersey takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,00:40,40.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,00:42,42.0,Shot off target,away,0.9,Player from away team takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,00:46,46.0,Shot off target,away,0.9,Player in white jersey takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,00:50,50.0,Ball out of play,home,0.9,Ball goes out of play
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,00:52,52.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,00:54,54.0,Shot off target,away,0.9,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,00:58,58.0,Free-kick,home,0.94,Player in blue kicks the ball
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,01:02,62.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,01:04,64.0,Shot off target,away,0.8,Player from away team takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,01:06,66.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,01:08,68.0,Shot off target,away,0.9,Player from away team takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,01:12,72.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,01:16,76.0,Shot off target,away,0.9,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,01:18,78.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,01:24,84.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,01:26,86.0,Shot off target,home,0.8,Player 23 from home team kicks the ball
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,01:28,88.0,Ball out of play,home,0.8,Ball goes out of play
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,01:30,90.0,Shot off target,away,0.8,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,01:32,92.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,01:36,96.0,Shot off target,away,0.9,Player takes a shot from outside the box but misses
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,01:40,100.0,Foul,away,0.9,Player from away team fouls player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,01:42,102.0,Other,away,0.9,Player in red uniform runs past the camera
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,01:44,104.0,Other,home,0.9,Player runs towards the ball
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,01:50,110.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,01:52,112.0,Set Pieces,home,0.9,Free-kick
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,01:54,114.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,01:58,118.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,02:02,122.0,Shot off target,away,0.9,Player from away team takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,02:04,124.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,02:08,128.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,02:10,130.0,Shot off target,away,0.9,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,02:12,132.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,02:14,134.0,Foul,home,0.9,Player from home team pushes opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,02:18,138.0,Foul,home,0.9,Player from away team fouls player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,02:20,140.0,Other,home,0.9,Player walks
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,02:24,144.0,Other,home,0.9,Player looks around the field
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,02:26,146.0,Kick-off,home,0.9,kick-off
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,02:28,148.0,Shot off target,away,0.8,Player in red jersey takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,02:30,150.0,Shot off target,home,0.8,Player in blue takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,02:34,154.0,Shot off target,home,0.9,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,02:36,156.0,Foul,away,0.9,Player 20 challenges player 8
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,02:40,160.0,Other,away,0.9,Player looks to the side
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,02:42,162.0,Foul,away,0.9,Player from away team appears to be fouled
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,02:44,164.0,Ball out of play,home,0.9,ball out of play
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,02:46,166.0,Foul,away,0.9,Player from away team fouls an opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,02:50,170.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,02:54,174.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,02:56,176.0,Free-kick,away,0.9,Player takes free-kick
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,03:00,180.0,Shot off target,away,0.9,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,03:02,182.0,Goal,away,0.94,Player scores goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,03:06,186.0,Shot off target,home,0.9,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,03:08,188.0,Shot off target,away,0.9,Player from away team takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,03:12,192.0,Foul,away,0.9,Player from away team fouls the ball
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,03:14,194.0,Shot off target,away,0.9,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,03:18,198.0,Goal,away,0.89,Player scores goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,03:20,200.0,Shot off target,home,0.9,Player from home team takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,03:24,204.0,Foul,home,0.9,Player from away team fouls player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,03:26,206.0,Shot off target,away,0.9,Player in blue takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,03:28,208.0,Shot off target,home,0.9,Player in blue takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,03:30,210.0,Shot off target,away,0.9,Player in blue takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,03:34,214.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,03:38,218.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,03:42,222.0,Shot off target,away,0.9,Player in white jersey takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,03:46,226.0,Shot off target,away,0.9,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,03:48,228.0,Foul,away,0.9,Player 2 from the home team fouls player 18 from the away team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,03:50,230.0,Ball out of play,home,0.9,Ball goes out of play
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,03:52,232.0,Shot off target,away,0.9,Player from away team takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,03:54,234.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,03:58,238.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,04:00,240.0,Shot off target,away,0.9,Player from away team takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,04:02,242.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,04:06,246.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,04:10,250.0,Foul,away,0.9,man Y puts hand on mouth
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,04:12,252.0,Other,home,0.9,Man in suit interacts with crowd
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,04:14,254.0,Foul,home,0.9,Man in suit pushes away
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,04:16,256.0,Other,home,0.9,Man adjusts coat
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,04:18,258.0,Shot on target,away,0.8,Player in white jersey takes a shot
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,04:20,260.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,04:22,262.0,Shot off target,away,0.8,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,04:26,266.0,Shot off target,home,0.9,Player in blue takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,04:28,268.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,04:32,272.0,Foul,home,0.9,Player from away team fouls player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,04:34,274.0,Foul,away,0.9,Goalkeeper challenges player
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,04:38,278.0,Ball out of play,home,0.9,ball is in the air
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,04:40,280.0,Shot off target,away,0.9,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,04:44,284.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,04:46,286.0,Kick-off,home,0.9,kick-off
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,04:48,288.0,Foul,away,0.8,Player from away team fouls the player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,04:50,290.0,Shot off target,away,0.8,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,04:52,292.0,Foul,away,0.8,Player from away team fouls player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,04:54,294.0,Shot off target,away,0.9,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,04:58,298.0,Goal,away,0.89,Player scores goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,05:00,300.0,Shot off target,away,0.8,Player from away team takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,05:06,306.0,Shot off target,away,0.8,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,05:10,310.0,Shot off target,home,0.9,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,05:12,312.0,Shot off target,away,0.9,Player in white dribbles the ball and takes a shot that misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,05:16,316.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,05:20,320.0,Foul,away,0.9,Player from away team is fouled
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,05:24,324.0,Other,away,0.9,Player in white jersey moves past the camera
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,05:26,326.0,Foul,away,0.9,Player from away team is fouled
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,05:28,328.0,Other,away,0.9,Players are shown on the screen
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,05:32,332.0,Shot off target,home,0.9,Player in blue takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,05:34,334.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,05:36,336.0,Shot off target,away,0.9,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,05:40,340.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,05:42,342.0,Foul,home,0.9,Player 26 fouls player 11
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,05:44,344.0,Shot off target,away,0.9,Player from away team takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,05:46,346.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,05:50,350.0,Foul,away,0.94,Player BUR player 20 fouls player CHE player 5
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,05:52,352.0,Other,home,0.9,Player walks away from the camera
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,05:54,354.0,Shot off target,away,0.8,Player in blue kicks the ball towards the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,05:56,356.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,05:58,358.0,Shot off target,away,0.8,Player in blue takes a shot but misses
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,06:02,362.0,Shot off target,away,0.9,Player takes a shot from outside the box but misses
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,06:04,364.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,06:06,366.0,Foul,home,0.9,Player from away team fouls player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,06:08,368.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,06:12,372.0,Shot off target,away,0.9,Player from away team takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,06:16,376.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,06:18,378.0,Shot off target,away,0.9,Player from away team takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,06:22,382.0,Shot off target,away,0.9,Player in blue takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,06:26,386.0,Shot off target,away,0.9,Player takes a shot from outside the box but misses
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,06:30,390.0,Shot off target,home,0.9,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,06:32,392.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,06:34,394.0,Shot off target,away,0.9,Player from away team takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,06:36,396.0,Foul,home,0.9,Player from home team fouls player from away team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,06:38,398.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,06:42,402.0,Foul,away,0.9,Player from away team is fouled
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,06:46,406.0,Foul,away,0.8,Player 20 fouls player 16
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,06:48,408.0,Shot off target,away,0.9,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,06:52,412.0,Shot off target,away,0.9,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,06:54,414.0,Ball out of play,home,0.9,Ball goes out of play
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,06:56,416.0,Set Pieces,away,0.9,Free-kick
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,06:58,418.0,Foul,home,0.9,Player from away team fouls player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,07:00,420.0,Foul,away,0.9,Player from away team fouls the player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,07:04,424.0,Foul,away,0.9,Player 21 from BUR fouls player 10 from CHE
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,07:06,426.0,Other,away,0.9,Player walks towards the field
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,07:08,428.0,Other,home,0.9,Player claps hands
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,07:12,432.0,Other,home,0.9,Player picks up the ball
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,07:16,436.0,Foul,away,0.8,Player 21 fouls player 10
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,07:20,440.0,Foul,away,0.9,Player from away team fouls the opponent
